JenisSurat,Perihal,Dari/Untuk,Tipe,Teks_Input_Gabungan,Kategori_Target
Keluar,Perjanjian Kerja Sama antara PT Pos Indonesia (Persero) dengan Koperasi Jasa Nasional Sinergi Indonesia tentang Pemotongan Uang Pensiun untuk Angsuran Kredit Pensiun dan Pemeliharaan Data (Flagging) Pegawai Negeri Sipil/Aparatur Sipil Negara/TNI/Polri dan Pensiunan yang Memperoleh Kredit melalui Koperasi Jasa Nasional Sinergi Indonesia,Direktur Bisnis Jasa Keuangan;,1 - SPK dan PKS,keluar perjanjian kerja sama antara pt pos indonesia persero dengan koperasi jasa nasional sinergi indonesia tentang pemotongan uang pensiun untuk angsuran kredit pensiun dan pemeliharaan data flagging pegawai negeri sipil aparatur sipil negara tni polri dan pensiunan yang memperoleh kredit melalui koperasi jasa nasional sinergi indonesia direktur bisnis jasa keuangan,SPK DAN PKS
Keluar,Perjanjian Kerja Sama antara Dana Pensiun Pos Indonesia dengan PT Pos Indonesia (Persero) tentang Pembayaran Manfaat Pensiun Peserta Dana Pensiun Pos Indonesia Melalui Rekening Giropos,Direktur Bisnis Jasa Keuangan;,2 - SPK dan PKS,keluar perjanjian kerja sama antara dana pensiun pos indonesia dengan pt pos indonesia persero tentang pembayaran manfaat pensiun peserta dana pensiun pos indonesia melalui rekening giropos direktur bisnis jasa keuangan,SPK DAN PKS
Keluar,Keputusan Direksi tentang Pemberian Tunjangan Kinerja Triwulan III Tahun 2022,Direktur Utama;,3 - KD,keluar keputusan direksi tentang pemberian tunjangan kinerja triwulan iii tahun 2022 direktur utama,KD
Masuk,"Dukungan Sponsor Event Internasional ""Formula 1 Powerboat Racing World Championship""",Kepala Dinas Kebudayaan dan Pariwisata Kabupaten Toba,4 - Surat Dinas,masuk dukungan sponsor event internasional formula 1 powerboat racing world championship kepala dinas kebudayaan dan pariwisata kabupaten toba,SURAT DINAS
Masuk,Undangan Workshop BUMN dan Anak Usaha Januari- Februari 2023,Erik Yosafat  Koran BUMN,5 - Surat Dinas,masuk undangan workshop bumn dan anak usaha januari februari 2023 erik yosafat koran bumn,SURAT DINAS
Masuk,"Dukungan Sponsor Event Internasional ""Formula 1 Powerboat Racing World Championship""",Kepala Dinas Kebudayaan dan Pariwisata Kabupaten Toba,6 - Surat Dinas,masuk dukungan sponsor event internasional formula 1 powerboat racing world championship kepala dinas kebudayaan dan pariwisata kabupaten toba,SURAT DINAS
Masuk,Somasi,Ketua Umum DPP FPPLI  Ketua Presidium KNPP,7 - Surat Dinas,masuk somasi ketua umum dpp fppli ketua presidium knpp,SURAT DINAS
Masuk,Tool untuk mensukseskan implementasi Value AKHLAK insan BUMN,Hendrik Lim  MBA (defora),8 - Surat Dinas,masuk tool untuk mensukseskan implementasi value akhlak insan bumn hendrik lim mba defora,SURAT DINAS
Masuk,Penyesuaian Upah Tahun 2023,Dewan Pengurus Pusat SPPI Kuat Bermartabat,9 - Surat Dinas,masuk penyesuaian upah tahun 2023 dewan pengurus pusat sppi kuat bermartabat,SURAT DINAS
Keluar,Risalah Radir tanggal 3 Januari 2023,Corsec;,10 - risalah,keluar risalah radir tanggal 3 januari 2023 corsec,RISALAH
