Kategori,Kata Kunci
BA,"kn, rekonsiliasi, pumk, 547, pelimpahan, bu, vision, evi, acara, berita"
KD,"direktur, kurir, perubahan, utama, tentang, dirut, tarif, direksi, keputusan, kd"
LAPORAN,"realisasi, mjm, prognosis, 2022, iv, triwulan, bulan, pengawasan, komisaris, laporan"
NOTA KESEPAHAMAN,"dit, corp, batang, pemanfaatan, persikindo, nota, kesepahaman, potensi, pihak, masing"
PERJANJIAN KERAHASIAAN,"sembilan, src, diclosure, 097, hand, data, informasi, kerahasiaan, atau, pertukaran"
PKS,"egm, sidik, outlet, dengan, spbd, bersertifikat, kembar, kerjasama, 0725, evp"
PKWT,"sinaga, henry, lily, selanno, tenaga, sebagai, profesional, iwan, irwansyah, pkwt"
PROPOSAL,"golf, ulbi, pasundan, hpn, himpunan, mahasiswa, panitia, pengantar, sponsorship, proposal"
RISALAH,"des, oktober, agustus, rabu, 17, 2024, direksi, selasa, risalah, radir"
RISALAH RADIR,"maret, pola, mei, direksi, agt, 11, risalah, radir, selasa, 2025"
RISALAH RAKOMDIR,"mei, februari, risalah, juni, 218, 2025, 41, 30, dekom, rakomdir"
RISALAH RATAS,"task, penyalahgunaan, grc, dtu, sukuk, demosi, posdigi, perihal, pembahasan, ratas"
SE,"performance, diploma, knowledge, capital, keagamaan, human, management, petunjuk, se, edaran"
SK,"masa, surat, tugas, keanggotaan, keputusan, satuan, komite, susunan, tim, sk"
SPK DAN PKS,"business, spk, karyadi, kerja, sama, dengan, svp, antara, pks, perjanjian"
SPPD,"peggy, betty, kamilia, 03, vp, general, ruta, raisya, support, sppd"
SURAT DINAS,"pks, pt, direksi, nomor, perjanjian, persero, dengan, antara, tentang, masuk"
SURAT PRIBADI,"tht, pesisir, sanrowi, moh, imron, pariono, lubis, alfian, pribadi, santosa"
